代號,校名,系名,標準,考取級分
國立虎尾科技大學,財務金融系,總級分(59),1,49
國立虎尾科技大學,企業管理系,總級分(55),1,49
國立勤益科技大學,休閒產業管理系,總級分(54),1,49
國立臺北護理健康大學,健康事業管理系,總級分(49),1,49
國立臺中科技大學,財務金融系,總級分(63),1,49
國立臺中科技大學,資訊工程系,"09商管群/數學(8),專一(11)",1,49
國立臺中科技大學,休閒事業經營系,總級分(54),1,49
國立臺中科技大學,企業管理系,總級分(58),1,49
國立臺北商業大學,商業設計管理系（桃園校區）,總級分(60),1,49
朝陽科技大學,休閒事業管理系,總級分(41),1,49
朝陽科技大學,行銷與流通管理系,總級分(45),1,49
明新科技大學,休閒事業管理系,總級分(23),1,49
長庚學校財團法人長庚科技大學,護理系（林口校區）,總級分(47),1,49
文藻外語大學,西班牙語文系,總級分(27),1,49
致理科技大學,財務金融系,總級分(45),1,49
致理科技大學,行銷與流通管理系,總級分(41),1,49
致理科技大學,休閒遊憩管理系,總級分(20),1,49
致理科技大學,國際貿易系,總級分(38),1,49
致理科技大學,應用英語系,總級分(29),1,49
國立聯合大學,經營管理學系,總級分(52),1,49
國立聯合大學,資訊管理學系,"總級分(48),專一(7)",1,49
國立體育大學,休閒產業經營學系,(111學年度商管群新增),1,49
國立屏東大學,不動產經營學系,總級分(36),1,49
銘傳大學,國際企業學系（台北校區）,總級分(36),1,49
實踐大學,國際經營與貿易學系（臺北校區）,總級分(31),1,49
國立高雄科技大學,漁業生產與管理系,總級分(47),2,50
國立高雄科技大學,高瞻科技不分系學士學位學程,"總級分(51),英文+數學(19),專二(10)",2,50
國立虎尾科技大學,工業管理系,總級分(54),2,50
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",2,50
國立臺北護理健康大學,健康事業管理系,總級分(49),2,50
國立臺中科技大學,應用統計系,數學(5),2,50
國立臺中科技大學,應用中文系,總級分(53),2,50
國立臺中科技大學,老人服務事業管理系,總級分(26),2,50
致理科技大學,行銷與流通管理系,總級分(41),2,50
國立聯合大學,經營管理學系,總級分(52),2,50
銘傳大學,企業管理學系（台北校區）,總級分(52),2,50
國立屏東科技大學,工業管理系,總級分(46),1,50
國立屏東科技大學,企業管理系,總級分(52),1,50
國立屏東科技大學,財務金融國際學士學位學程,總級分(51),1,50
國立高雄科技大學,航運管理系,總級分(55),1,50
國立高雄科技大學,應用日語系,總級分(54),1,50
國立虎尾科技大學,財務金融系,總級分(59),1,50
國立勤益科技大學,企業管理系,"超篩總級分(60),國文+英文+數學+專二(40),專一(12)",1,50
國立勤益科技大學,文化創意事業系,總級分(52),1,50
國立臺北護理健康大學,高齡健康照護系,總級分(53),1,50
國立臺中科技大學,休閒事業經營系,總級分(54),1,50
國立臺中科技大學,企業管理系,總級分(58),1,50
朝陽科技大學,財務金融系,總級分(45),1,50
朝陽科技大學,行銷與流通管理系,總級分(45),1,50
國立臺東大學,資訊管理學系,"超篩總級分(43),專二+總級分(49)",1,50
國立聯合大學,資訊管理學系,"總級分(48),專一(7)",1,50
國立體育大學,休閒產業經營學系,(111學年度商管群新增),1,50
國立金門大學,企業管理學系,總級分(42),1,50
國立屏東大學,財務金融學系,總級分(53),1,50
逢甲大學,合作經濟暨社會事業經營學系,"超篩總級分(53),國文(8),英文+數學+總級分(72)",1,50
逢甲大學,土地管理學系,總級分(33),1,50
靜宜大學,企業管理學系,"總級分(37),英文(4),數學(6)",1,50
靜宜大學,財務金融學系,"超篩總級分(50),專二(10)",1,50
銘傳大學,國際企業學系（台北校區）,總級分(36),1,50
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",4,51
國立聯合大學,經營管理學系,總級分(52),4,51
國立聯合大學,資訊管理學系,"總級分(48),專一(7)",4,51
國立虎尾科技大學,工業管理系,總級分(54),3,51
國立臺北護理健康大學,健康事業管理系,總級分(49),3,51
國立虎尾科技大學,企業管理系,總級分(55),2,51
國立勤益科技大學,流通管理系,09商管群/總級分(55),2,51
國立臺中科技大學,資訊工程系(資管類),"數學(8),專一(11)",2,51
國立臺中科技大學,應用統計系,數學(5),2,51
中原大學,國際經營與貿易學系,"09商管群/超篩總級分(57),國文(9),英文(12)",2,51
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",2,51
逢甲大學,合作經濟暨社會事業經營學系,"超篩總級分(53),國文(8),英文+數學+總級分(72)",2,51
世新大學,資訊管理學系資訊管理組,總級分(47),2,51
銘傳大學,企業管理學系（台北校區）,總級分(52),2,51
國立屏東科技大學,資訊管理系,總級分(47),1,51
國立屏東科技大學,工業管理系,總級分(46),1,51
國立高雄科技大學,智慧商務系,"09商管群/超篩總級分(57),英文+數學(18),專一(12)",1,51
國立高雄科技大學,供應鏈管理系,總級分(56),1,51
國立高雄科技大學,應用德語系,總級分(53),1,51
國立高雄科技大學,人力資源發展系,總級分(56),1,51
國立高雄科技大學,高瞻科技不分系學士學位學程,"總級分(51),英文+數學(19),專二(10)",1,51
國立虎尾科技大學,應用外語系,總級分(54),1,51
國立勤益科技大學,資訊工程系,"超篩總級分(51),專一(13),國文+英文+數學(29)",1,51
國立勤益科技大學,流通管理系(資管類),總級分(55),1,51
國立勤益科技大學,文化創意事業系,總級分(52),1,51
國立臺北護理健康大學,資訊管理系,總級分(56),1,51
國立臺中科技大學,休閒事業經營系,總級分(54),1,51
國立臺中科技大學,企業管理系,總級分(58),1,51
長庚學校財團法人長庚科技大學,護理系（林口校區）,總級分(47),1,51
致理科技大學,財務金融系,總級分(45),1,51
國立屏東大學,企業管理學系,總級分(48),1,51
國立屏東大學,會計學系,總級分(44),1,51
國立屏東大學,休閒事業經營學系,總級分(46),1,51
淡江大學,資訊管理學系,(無110甄選資料),1,51
逢甲大學,工業工程與系統管理學系,總級分(56),1,51
逢甲大學,國際經營與貿易學系,總級分(55),1,51
銘傳大學,會計學系（台北校區）,"超篩總級分(56),專二(9),英文(7)",1,51
銘傳大學,國際企業學系（台北校區）,總級分(36),1,51
實踐大學,會計學系（臺北校區）,總級分(48),1,51
